c1,c2,c3,xs,Vs,Vxxs,LDPs,xu,Vu,Vxxu,LDPu,ΔV,C,LDP
-0.0010730366507963117,0.6741994196416808,0.3414575192514608,0.000795305285912161,-4.267817433925533e-7,1.3500282171032125,0.9999995732183476,-1.3171121365756004,0.39080574720105377,-1.3500282171032125,1.4781713466011723,0.39080617398279716,1.3500282171032125,0.6765112688171726
0.003100019058054955,0.6022989145647197,0.09449892029773498,-0.002575049378181267,-3.990544296848816e-6,1.2031377928137306,0.9999960094636654,-4.246495823016087,3.611587775732552,-1.2031377928137306,37.024793237378304,3.611591766276849,1.2031377928137306,0.027008820901506653
0.0014770470485592736,0.6811516730134773,0.2997465699518772,-0.0010850047969845587,-8.011101324732282e-7,1.36035198722929,0.9999991988901884,-1.5138651593207295,0.5188609799836592,-1.3603519872292902,1.6801128772269402,0.5188617810937917,1.3603519872292902,0.595197627757432
0.0018951271919454315,0.6758427075268929,0.271511491351846,-0.0014032340978942924,-1.3292784464593577e-6,1.3493994499579756,0.999998670722437,-1.6580543556144143,0.6172348809749064,-1.3493994499579762,1.8537949845792685,0.6172362102533528,1.3493994499579758,0.5394332593630323
5.556444634460709e-5,0.6908914005015898,0.19650788417728013,-4.021283200687415e-5,-1.1171954840421332e-9,1.381735388171973,0.9999999988828046,-2.343856923557358,1.2650885425514304,-1.3817353881719727,3.5434064644687413,1.2650885436686259,1.381735388171973,0.2822143067441554
0.00049931558848954,0.679973063428751,0.24213592379250898,-0.00036723039291269085,-9.167593410260394e-8,1.3594126088349063,0.9999999083240702,-1.8717852718835446,0.7934902910610311,-1.359412608834906,2.2111003577671924,0.7934903827369651,1.3594126088349063,0.45226346457375977
0.0006769555772933481,0.6828862270182744,0.2842673763951374,-0.0004958111569270987,-1.6780374007332428e-7,1.3649267964159462,0.999999832196274,-1.6010157321375538,0.5827471423362587,-1.364926796415946,1.7909516781423946,0.5827473101399988,1.3649267964159462,0.5583622631479876
0.00010332981496408146,0.7005261661578209,0.24452464822219452,-7.375442231086142e-5,-3.810466353064529e-9,1.4009441236706195,0.9999999961895336,-1.9098255031807296,0.8515759630112052,-1.4009441236706193,2.343336955793764,0.8515759668216716,1.4009441236706193,0.4267418706972943
0.00038088012569164893,0.6245742318096769,0.15021634610705673,-0.0003049453634973968,-5.807168431795061e-8,1.2488736169497525,0.9999999419283173,-2.7715826154596237,1.5985539930538608,-1.2488736169497525,4.9458754808470875,1.5985540511255452,1.2488736169497525,0.2021886611987744
0.0010410635579341395,0.6925622661406582,0.2816647340452442,-0.0007519477959701077,-3.913528461659358e-7,1.3838537492255094,0.9999996086472304,-1.638459929374782,0.6186024002815831,-1.3838537492255087,1.8563318192011162,0.6186027916344292,1.383853749225509,0.5386965833929337
