636,1.2,2.8
643,1.2,4.0
650,1.0,4.6
651,0.2,3.5
654,0.6,2.9
658,0.5,2.2
663,0.8,2.0
666,0.6,2.4
671,0.7,2.6
669,-0.3,1.8
670,0.1,1.1
673,0.5,1.0
677,0.6,0.8
678,0.2,1.3
681,0.5,1.7
685,0.5,1.7
679,-0.8,0.4
677,-0.3,-0.1
679,0.2,-0.4
681,0.4,-0.5
683,0.2,0.5
687,0.7,1.5
692,0.7,2.0
702,1.4,3.0
710,1.2,4.0
708,-0.2,3.1
715,0.9,3.2
719,0.6,2.4
723,0.6,1.8
727,0.6,2.6
734,1.0,2.8
738,0.5,2.6
742,0.6,2.7
745,0.4,2.5
745,0.0,1.5
748,0.5,1.5
754,0.7,1.6
757,0.4,1.5
763,0.8,2.4
767,0.6,2.5
774,0.9,2.7
778,0.4,2.8
784,0.9,2.8
793,1.1,3.4
799,0.7,3.2
803,0.6,3.3
816,1.5,4.0
821,0.7,3.5
820,-0.2,2.6
824,0.5,2.5
832,1.0,2.0
836,0.5,1.8
846,1.2,3.2
852,0.7,3.4
865,1.6,4.0
878,1.5,5.1
874,-0.5,3.4
877,0.3,3.0
882,0.6,1.9
893,1.3,1.7
892,-0.2,2.0
895,0.4,2.0
896,0.2,1.7
906,1.1,1.5
927,2.3,4.0
935,0.8,4.5
944,1.0,5.3
948,0.4,4.6
945,-0.3,1.8
949,0.5,1.6
953,0.3,1.0
955,0.3,0.8
954,-0.2,0.9
958,0.4,0.9
959,0.2,0.7
968,0.9,1.4
969,0.1,1.6
972,0.3,1.5
975,0.3,1.6
978,0.3,1.0
976,-0.2,0.8
975,-0.2,0.3
979,0.4,0.4
982,0.3,0.4
977,-0.5,0.1
979,0.2,0.4
983,0.4,0.4
986,0.3,0.4
990,0.4,1.3
1000,1.0,2.2
1000,0.0,1.7
1005,0.5,1.9
1006,0.1,1.6
1011,0.5,1.1
1015,0.4,1.5
1024,0.9,1.9
1025,0.1,1.9
1026,0.1,1.5
1032,0.6,1.7
1039,0.7,1.5
1044,0.5,1.9
1052,0.8,2.5
1047,-0.5,1.5
1054,0.7,1.4
1059,0.5,1.4
1068,0.8,1.5
1082,1.3,3.3
1106,2.2,4.9
1122,1.4,5.9
1142,1.8,6.9
1161,1.7,7.3
1186,2.2,7.2
1203,1.4,7.2
1218,1.2,6.7
1231,1.1,6.0
1253,1.8,5.6
1259,0.5,4.7
1267,0.6,4.0
1272,0.4,3.3
1280,0.6,2.2
