c1,c2,c3,xs,Vs,Vxxs,LDPs,xu,Vu,Vxxu,LDPu,ΔV,C,LDP,Nx
0.0008945200297602188,0.757267241213903,0.1846789345137446,-0.0005907514103573208,-2.6420044744849667e-7,1.5138798863816423,0.9999997357995875,-2.73304440197181,1.883847380028064,-1.513879886381643,6.5787672517564495,1.8838476442285115,1.5138798863816425,0.15200412136979005,0.0
0.0014252831124169129,0.7622870259720114,0.1948312859997515,-0.0009352083078208798,-6.663886230492242e-7,1.5234808049202804,0.999999333611599,-2.6074310406767274,1.725041860382348,-1.52348080492028,5.612755976886851,1.725042526770971,1.5234808049202802,0.1781654748094455,0.0
0.0013039607458922528,0.7645316054127852,0.20355502953365465,-0.0008530747060707577,-5.561247801534175e-7,1.5280213249436385,0.9999994438753745,-2.5030778677499,1.5945225272458745,-1.5280213249436387,4.925976490955223,1.5945230833706547,1.5280213249436385,0.2030053220334105,0.0
-0.00018508904185629956,0.7539989188020522,0.37166286342446786,0.00012272713086211432,-1.1358067041731778e-8,1.5082715163053608,0.9999999886419331,-1.352600995302496,0.4599879774469767,-1.5082715163053608,1.5840549404954865,0.45998798880504377,1.5082715163053608,0.6312912280234023,0.0
-0.0005620501974717425,0.7706098731348346,0.28156904939996125,0.00036460595938427715,-1.0247024953433298e-7,1.5418357167900056,0.9999998975297557,-1.8249256382107286,0.8561515844202501,-1.5418357167900056,2.3540837464100717,0.8561516868904996,1.5418357167900056,0.4247936799422428,0.0
-0.0003544907089191117,0.760115799720257,0.30225320674317,0.0002331496192649545,-4.132660224509504e-8,1.5206544207609567,0.9999999586733986,-1.6767872942069206,0.7127807580490497,-1.5206544207609562,2.039655167541318,0.712780799375652,1.5206544207609565,0.4902789327270642,0.0
0.0012932472897467643,0.7642098440860081,0.20224753104161897,-0.0008464180253594812,-5.472525878258394e-7,1.5273925724368678,0.999999452747562,-2.5182114254339583,1.613212797695176,-1.527392572436868,5.018910095570552,1.613213344947764,1.5273925724368678,0.19924633709420558,0.0
0.0010029159248271656,0.7639016974319692,0.24275116163633345,-0.000656648585741621,-3.2924729571888755e-7,1.5268469816220847,0.9999996707527585,-2.09724391285798,1.1185876583781336,-1.5268469816220853,3.0605286374441025,1.1185879876254292,1.526846981622085,0.3267408311486589,0.0
0.012656924263723758,0.7004224288605828,-0.073523412753326,-0.00902239030877723,-5.7124855204681774e-5,1.4048249992813286,0.9999428767763888,6.360037236065264,9.497711949546115,-1.4048249992813286,13329.194044222651,9.49776907440132,1.4048249992813286,7.501900515956545e-5,0.0
0.0012791441866585192,0.781858418525525,0.23371787979423966,-0.0008183154884754861,-5.233077139592375e-7,1.5625693072852342,0.999999476692423,-2.2293873758457567,1.2934214441495624,-1.5625693072852342,3.6452372195400744,1.2934219674572764,1.5625693072852342,0.27433042528260876,0.0
-0.0009180330029660718,0.7634252335152535,0.24179634016482363,0.0006010876213093475,-2.759353932912078e-7,1.5277225117522129,0.9999997240646448,-2.1054723000222215,1.1293800778587184,-1.527722511752213,3.0937380288313374,1.1293803537941116,1.5277225117522129,0.3232334847829361,0.0
0.0009185061694180829,0.7701676350320543,0.2488380729680553,-0.0005964751856812559,-2.7390666532596503e-7,1.5394447156494395,0.9999997260933722,-2.06277382782773,1.091100522657785,-1.5394447156494397,2.9775491303774997,1.0911007965644504,1.5394447156494395,0.3358465913765091,0.0
0.0005047295574535076,0.6968843495600099,0.1689774425127476,-0.00036218065058492695,-9.139762577075416e-8,1.393401496959639,0.9999999086023784,-2.7490554899257194,1.7545977591758963,-1.3934014969596387,5.7811218709823775,1.754597850573522,1.3934014969596389,0.17297679082355166,0.0
0.0011436449603573029,0.7652905952481013,0.199456850099796,-0.0007474149262030749,-4.273470174433747e-7,1.5296867283348143,0.9999995726530738,-2.557167893122285,1.66615619632449,-1.5296867283348141,5.291788060023983,1.6661566236715075,1.5296867283348141,0.18897196208733685,0.0
0.0005625691716557166,0.691545785827582,0.1675841461686827,-0.0004068077522617843,-1.1442310891825243e-7,1.3826825244762584,0.9999998855768977,-2.750632204142109,1.743041676521579,-1.3826825244762584,5.71469928046762,1.743041790944688,1.3826825244762584,0.17498731542967033,0.0
0.0014820293283935324,0.7674484221790271,0.23936168542716135,-0.0009659928674211442,-7.157069989122345e-7,1.533509514272915,0.9999992842932572,-2.136520132113832,1.165617688930682,-1.5335095142729152,3.207903757999625,1.165618404637681,1.5335095142729152,0.3117298272429575,0.0
