# NOAA Paleoclimatology Program - Paleocean Site Data
# odp658c-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Peter B. deMenocal
# Core/Site:      ODP658C
# Latitude:       20.45.00N	( 20.75)
# Longitude:      18.35.00W	( -18.58333)
# Water Depth(m): 2263
#
# Publications:
#   deMenocal, P.B., J. Ortiz, T. Guilderson, and M. Sarnthein. 2000. Coherent high-
#     and low-latitude climate variability during the Holocene Warm Period. Science
#     288(5474):2198-2202.
#------------------
#
# Description & Notes:
#   Holocene Variations in Subtropical Atlantic SST.
#   Data precision: SSTwarm= ±1.6°C, SSTcold=±1.3°C
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-aug.anom  Sea Surface Temperature (C, August)- anomaly
#             sst-feb       Sea Surface Temperature (C, February)
#             sst-feb.anom  Sea Surface Temperature (C, February)- anomaly
#
# CORE: ODP658C
depth	yrBP 	sst-aug	sst-aug.anom	sst-feb	sst-feb.anom	notes
262	12404	20	-5.8	13.2	-3.6	
266	12537	20.6	-5.2	14.1	-2.7	
270	12670	20.8	-5	13.8	-3	
274	12803	20.4	-5.4	13.7	-3.2	
278	12936	20.5	-5.3	13.4	-3.4	
280	12990	20	-5.8	13.7	-3.1	
282	13030	21.9	-3.9	14.7	-2.1	
284	13070	21.3	-4.5	14	-2.8	
286	13110	20.6	-5.2	13.4	-3.4	
290	13190	20.9	-4.9	13.7	-3.1	
292	13230	22	-3.8	14.3	-2.6	
294	13270	22.7	-3.1	15.1	-1.7	
296	13354	21.7	-4.1	14.8	-2	
298	13438	21.6	-4.2	14.3	-2.5	
302	13606	21.1	-4.6	14.4	-2.4	
308	13859	21	-4.8	13.8	-3	
312	14027	22	-3.7	15.1	-1.7	
316	14146	20.8	-4.9	14.3	-2.5	
320	14248	21.4	-4.4	14.1	-2.7	
322	14299	20.3	-5.5	13.6	-3.2	
324	14350	19.4	-6.4	12.9	-3.9	
326	14800	20.5	-5.3	15.2	-1.6	Hiatus between here and next sample
328	17420	17.7	-8.1	11.9	-4.9	
332	17756	17.8	-8	12.1	-4.7	
336	18092	17.8	-8	12.1	-4.7	
340	18429	17.9	-7.9	11.4	-5.4	
344	18765	18.3	-7.5	12	-4.8	
348	19101	17.9	-7.8	12	-4.8	
350	19270	18.4	-7.4	12.2	-4.7	
352	19366	17.5	-8.3	11.8	-5	
356	19558	17.4	-8.4	11.9	-4.9	
360	19751	18.1	-7.7	12.5	-4.3	
364	19943	17.7	-8.1	12	-4.8	
368	20136	17.3	-8.5	11.4	-5.4	
372	20328	16.5	-9.3	10.7	-6.1	
376	20521	17.2	-8.6	11.5	-5.3	
380	20713	18.1	-7.7	12.3	-4.6	
384	20905	19.9	-5.9	13.5	-3.3	
388	21098	19.8	-6	13.7	-3.1	
392	21290	19.4	-6.4	12.8	-4	
396	21483	18.8	-7	12.2	-4.6	
400	21675	19.2	-6.6	12.5	-4.4	
404	21868	18.8	-7	12.4	-4.5	
408	22060	17.7	-8.1	12.1	-4.7	
412	22253	19.6	-6.2	14.1	-2.7	
416	22445	18.3	-7.5	12.4	-4.4	
420	22638	18.4	-7.4	12.8	-4	
424	22830	19.8	-6	14.1	-2.7	
428	23023	20.1	-5.7	14.4	-2.4	
